staff_id,first_name,last_name,department_name,location,email_address
1,Jeremie,Franey,Purchasing,Manchester,jeremie.franey@terrifictotes.com
2,Deron,Beier,Facilities,Manchester,deron.beier@terrifictotes.com
3,Jeanette,Erdman,Facilities,Manchester,jeanette.erdman@terrifictotes.com
4,Ana,Glover,Production,Leeds,ana.glover@terrifictotes.com
5,Magdalena,Zieme,HR,Leeds,magdalena.zieme@terrifictotes.com
6,Korey,Kreiger,Production,Leeds,korey.kreiger@terrifictotes.com
7,Raphael,Rippin,Purchasing,Manchester,raphael.rippin@terrifictotes.com
8,Oswaldo,Bergstrom,Communications,Leeds,oswaldo.bergstrom@terrifictotes.com
9,Brody,Ratke,Purchasing,Manchester,brody.ratke@terrifictotes.com
10,Jazmyn,Kuhn,Purchasing,Manchester,jazmyn.kuhn@terrifictotes.com
11,Meda,Cremin,Finance,Manchester,meda.cremin@terrifictotes.com
12,Imani,Walker,Finance,Manchester,imani.walker@terrifictotes.com
13,Stan,Lehner,Dispatch,Leds,stan.lehner@terrifictotes.com
14,Rigoberto,VonRueden,Communications,Leeds,rigoberto.vonrueden@terrifictotes.com
15,Tom,Gutkowski,Production,Leeds,tom.gutkowski@terrifictotes.com
16,Jett,Parisian,Facilities,Manchester,jett.parisian@terrifictotes.com
17,Irving,O'Keefe,Production,Leeds,irving.o'keefe@terrifictotes.com
18,Tomasa,Moore,HR,Leeds,tomasa.moore@terrifictotes.com
19,Pierre,Sauer,Purchasing,Manchester,pierre.sauer@terrifictotes.com
20,Flavio,Kulas,Production,Leeds,flavio.kulas@terrifictotes.com
